var,mean,sd,state
B[233],40.998,1.798,
B[234],64.681,1.654,
B[235],49.193,0.974,
B[236],45.173,1.334,
B[237],44.108,1.353,
B[238],48.713,0.838,
B[239],50.38,0.802,
B[240],59.127,1.311,
B[241],51.247,0.843,
B[242],56.058,1.792,
B[243],66.282,1.551,
B[244],54.475,1.521,
B[245],50.938,0.895,
B[246],51.639,0.921,
B[247],51.711,0.983,
B[248],64.155,1.312,
B[249],63.858,2.005,
B[250],51.473,0.963,
B[251],44.948,1.389,
B[252],51.081,0.805,
B[253],37.435,2.745,
B[254],49.101,0.896,
B[255],45.638,1.098,
B[256],35.802,2.037,
B[257],51.521,0.976,
B[258],51.04,0.819,
B[259],35.84,4.351,
B[260],54.552,1.5,
B[261],40.779,1.789,
B[262],46.209,1.197,
B[263],53.47,1.513,
B[264],39.747,1.77,
B[265],45.139,1.188,
B[266],53.47,1.513,
B[267],39.747,1.77,
B[268],45.139,1.188,
B[269],51.109,0.874,
B[270],41.776,1.524,
B[271],42.913,2.495,
B[272],32.167,4.1,
B[273],39.997,3.367,
B[274],45.136,1.342,
B[275],41.461,3.366,
B[276],49.346,0.864,
B[277],47.917,1.179,
B[278],48.624,0.879,
B[279],50.445,0.861,
B[280],48.545,0.914,
B[281],51.144,0.882,
B[282],48.264,0.861,
B[283],46.839,1.152,
B[284],47.544,0.861,
B[285],49.361,0.86,
B[286],47.465,0.912,
B[287],50.059,0.888,
B[288],29.148,4.018,
B[289],37.162,2.695,
B[290],57.795,2.277,
B[291],35.562,3.212,
B[292],54.169,1.813,
B[293],50.338,0.808,
B[294],55.035,1.557,
B[295],40.224,1.726,
B[296],24.096,3.72,
B[297],35.426,1.12,
B[298],49.178,0.851,
B[299],48.46,0.863,
B[300],50.284,0.848,
B[301],49.07,0.917,
B[302],48.383,0.905,
B[303],50.982,0.846,
B[304],51.057,0.935,
B[305],44.674,1.981,
B[306],43.613,1.963,
B[307],59.07,1.316,
B[308],58.006,1.32,
B[309],41.927,1.55,
B[310],40.885,1.542,
B[311],46.755,1.069,
B[312],64.835,2.03,
B[313],35.411,1.11,
B[314],35.564,1.108,
B[315],34.437,1.109,
B[316],34.589,1.104,
B[317],34.438,1.108,
B[318],34.59,1.104,
B[319],51.029,0.797,
B[320],49.232,0.945,
B[321],48.151,0.926,
B[322],49.9,1.144,
B[323],45.585,1.142,
B[324],44.517,1.133,
B[325],49.648,0.969,
B[326],48.929,0.961,
B[327],50.752,0.902,
B[328],49.533,0.993,
B[329],51.453,0.908,
B[330],51.525,1.008,
B[331],49.811,0.986,
B[332],49.092,0.981,
B[333],50.915,0.919,
B[334],49.696,1.039,
B[335],51.617,0.946,
B[336],51.688,1.037,
B[337],48.566,0.976,
B[338],47.848,0.956,
B[339],49.668,0.913,
B[340],48.451,0.997,
B[341],50.368,0.926,
B[342],50.44,1.016,
B[343],48.729,0.991,
B[344],48.011,0.973,
B[345],49.831,0.927,
B[346],48.614,1.04,
B[347],50.532,0.961,
B[348],50.604,1.043,
B[349],49.083,0.984,
B[350],64.785,1.31,
B[351],63.767,1.326,
B[352],51.052,0.865,
B[353],66.233,1.535,
B[354],50.277,0.796,
B[355],50.978,0.796,
B[356],48.456,0.819,
B[357],51.05,0.867,
B[358],49.173,0.829,
B[359],49.059,0.881,
B[360],49.342,0.85,
B[361],48.624,0.846,
B[362],50.446,0.815,
B[363],49.228,0.928,
B[364],51.146,0.842,
B[365],51.218,0.901,
B[366],45.748,1.125,
B[367],49.13,0.848,
B[368],48.049,0.843,
B[369],48.412,0.863,
B[370],47.333,0.842,
B[371],50.236,0.844,
B[372],49.153,0.842,
B[373],49.024,0.917,
B[374],47.943,0.91,
B[375],48.335,0.903,
B[376],47.256,0.899,
B[377],50.934,0.844,
B[378],49.85,0.849,
B[379],51.009,0.933,
B[380],49.925,0.928,
B[381],48.333,0.903,
B[382],48.617,0.873,
B[383],54.344,1.277,
B[384],53.262,1.281,
B[385],57.741,1.649,
B[386],56.671,1.67,
B[387],45.577,1.087,
B[388],44.509,1.098,
B[389],47.758,1.118,
B[390],64.668,1.211,
B[391],63.649,1.232,
B[392],57.895,1.65,
B[393],50.916,0.919,
B[394],59.033,1.316,
B[395],57.969,1.318,
B[396],47.924,1.116,
B[397],46.847,1.108,
B[398],54.814,1.853,
B[399],53.831,1.446,
B[400],48.774,0.926,
B[401],48.057,0.928,
B[402],50.649,0.996,
B[403],49.857,0.94,
B[404],49.138,0.955,
B[405],51.734,1.008,
B[406],48.205,0.869,
B[407],46.797,1.149,
B[408],47.497,0.861,
B[409],49.312,0.858,
B[410],47.421,0.91,
B[411],50.012,0.886,
B[412],42.093,3.352,
B[413],66.195,1.553,
B[414],50.224,0.803,
B[415],49.141,0.826,
B[416],48.406,0.822,
B[417],47.327,0.826,
B[418],49.899,0.935,
B[419],34.782,1.182,
B[420],48.001,0.837,
B[421],49.082,0.847,
B[422],47.285,0.839,
B[423],48.364,0.864,
B[424],49.105,0.835,
B[425],50.188,0.842,
B[426],47.895,0.905,
B[427],48.976,0.917,
B[428],47.208,0.894,
B[429],48.287,0.902,
B[430],49.802,0.844,
B[431],50.886,0.843,
B[432],49.877,0.923,
B[433],50.961,0.931,
B[434],55.145,1.551,
B[435],35.301,1.462,
B[436],48.531,0.871,
B[437],50.334,0.847,
B[438],49.916,1.058,
B[439],48.834,1.063,
B[440],48.834,1.063,
B[441],51.409,0.921,
B[442],46.66,1.07,
B[443],45.588,1.078,
B[444],45.026,1.337,
B[445],53.358,1.309,
B[446],34.778,1.122,
B[447],34.931,1.121,
B[448],33.815,1.115,
B[449],33.965,1.113,
B[450],54.336,1.524,
B[451],53.254,1.54,
B[452],45.107,1.421,
B[453],50.306,0.865,
B[454],48.164,0.856,
B[455],46.743,1.157,
B[456],47.444,0.864,
B[457],49.265,0.855,
B[458],47.358,0.93,
B[459],49.959,0.891,
B[460],51.491,0.91,
B[461],49.571,0.973,
B[462],48.956,0.902,
B[463],47.875,0.912,
B[464],53.791,1.427,
B[465],50.912,0.905,
B[466],49.828,0.889,
B[467],51.331,0.973,
B[468],50.246,0.979,
B[469],52.225,2.907,
B[470],59.502,3.405,
B[471],40.527,3.414,
B[472],50.743,0.88,
B[473],63.633,1.32,
B[474],64.651,1.31,
B[475],48.824,0.975,
B[476],47.211,1.056,
B[477],46.136,1.059,
B[478],64.577,1.196,
B[479],63.557,1.212,
B[480],54.242,1.283,
B[481],53.16,1.281,
B[482],58.939,1.324,
B[483],57.875,1.32,
B[484],53.732,1.448,
B[485],51.052,0.853,
B[486],54.238,1.886,
B[487],45.703,1.097,
B[488],47.953,0.832,
B[489],49.034,0.846,
B[490],47.238,0.837,
B[491],48.317,0.865,
B[492],49.057,0.829,
B[493],50.14,0.841,
B[494],47.847,0.901,
B[495],48.928,0.917,
B[496],47.16,0.889,
B[497],48.239,0.902,
B[498],49.754,0.84,
B[499],50.838,0.844,
B[500],49.829,0.919,
B[501],50.913,0.931,
B[502],45.462,1.147,
B[503],50.894,0.811,
B[504],49.81,0.839,
B[505],53.558,1.836,
B[506],63.704,1.166,
B[507],49.865,0.888,
B[508],50.95,0.874,
B[509],47.278,0.826,
B[510],48.357,0.826,
B[511],41.606,1.559,
B[512],54.857,1.613,
B[513],37.0,2.705,
B[514],49.197,1.002,
B[515],48.238,0.902,
B[516],41.705,2.031,
B[517],65.73,1.824,
B[518],46.22,1.118,
B[519],50.955,0.865,
B[520],51.122,0.908,
B[521],49.871,0.88,
B[522],50.038,0.921,
B[523],55.437,1.592,
B[524],47.481,1.122,
B[525],50.846,0.813,
B[526],42.3,1.844,
B[527],42.459,1.862,
B[528],63.632,2.013,
B[529],62.603,2.049,
B[530],42.276,1.884,
B[531],50.131,0.798,
B[532],49.047,0.812,
B[533],48.23,0.898,
B[534],47.151,0.908,
B[535],62.658,2.081,
B[536],61.62,2.135,
B[537],46.263,1.084,
B[538],47.149,0.913,
B[539],42.292,1.849,
B[540],41.247,1.851,
B[541],44.71,1.415,
B[542],45.493,1.075,
B[543],46.565,1.073,
B[544],40.195,1.756,
B[545],57.752,1.66,
B[546],42.288,1.855,
B[547],50.834,0.799,
B[548],49.75,0.821,
B[549],64.533,1.208,
B[550],63.513,1.221,
B[551],58.892,1.329,
B[552],57.827,1.323,
B[553],50.772,0.944,
B[554],48.232,0.895,
B[555],47.154,0.905,
B[556],48.312,0.827,
B[557],47.233,0.823,
B[558],48.915,0.885,
B[559],47.835,0.892,
B[560],49.03,0.829,
B[561],47.949,0.84,
B[562],66.063,1.56,
B[563],50.133,0.794,
B[564],49.05,0.808,
B[565],51.206,1.07,
B[566],51.08,2.925,
B[567],58.374,3.404,
B[568],39.432,3.379,
B[569],50.907,0.867,
B[570],50.462,1.064,
B[571],50.133,0.794,
B[572],50.906,0.868,
B[573],49.822,0.879,
B[574],48.792,1.064,
B[575],64.687,1.206,
B[576],63.668,1.217,
B[577],47.905,0.828,
B[578],48.986,0.847,
B[579],47.19,0.835,
B[580],48.269,0.868,
B[581],49.009,0.825,
B[582],50.092,0.841,
B[583],47.8,0.899,
B[584],48.88,0.919,
B[585],47.113,0.886,
B[586],48.191,0.903,
B[587],49.706,0.837,
B[588],50.79,0.845,
B[589],49.781,0.915,
B[590],50.865,0.932,
B[591],47.721,1.182,
B[592],46.644,1.157,
B[593],53.687,1.45,
B[594],49.49,1.295,
B[595],50.264,1.374,
B[596],47.673,1.332,
B[597],50.193,1.341,
B[598],48.392,1.31,
B[599],48.28,1.369,
B[600],49.743,0.896,
B[601],50.515,0.97,
B[602],47.923,0.904,
B[603],50.443,0.895,
B[604],48.64,0.898,
B[605],48.526,0.987,
B[606],62.802,1.859,
B[607],63.829,1.846,
B[608],49.155,0.876,
B[609],45.563,1.526,
B[610],39.983,1.722,
B[611],38.959,1.707,
B[612],53.51,1.839,
B[613],39.758,3.361,
B[614],39.76,2.705,
B[615],64.494,1.248,
B[616],54.802,1.572,
B[617],66.271,1.822,
B[618],53.939,1.826,
B[619],48.202,0.917,
B[620],35.214,1.129,
B[621],47.136,1.079,
B[622],41.627,2.045,
B[623],67.145,3.32,
B[624],53.735,1.462,
B[625],39.915,2.707,
B[626],64.648,1.255,
B[627],54.965,1.578,
B[628],66.422,1.812,
B[629],54.102,1.815,
B[630],48.366,0.948,
B[631],35.362,1.141,
B[632],47.299,1.108,
B[633],41.785,2.067,
B[634],67.293,3.313,
B[635],53.898,1.498,
B[636],43.899,1.923,
B[637],48.264,0.832,
B[638],47.754,0.974,
B[639],47.185,0.823,
B[640],48.358,0.93,
B[641],47.821,0.928,
B[642],45.38,1.115,
B[643],44.314,1.112,
B[644],50.782,0.806,
B[645],49.698,0.823,
B[646],48.979,0.836,
B[647],47.898,0.841,
B[648],48.268,0.936,
B[649],47.189,0.941,
B[650],43.899,1.923,
B[651],50.786,0.802,
B[652],49.702,0.82,
B[653],44.786,1.17,
B[654],43.723,1.168,
B[655],50.538,0.968,
B[656],49.455,0.96,
B[657],44.475,1.157,
B[658],47.706,1.209,
B[659],45.393,1.107,
B[660],45.556,1.152,
B[661],49.31,1.009,
B[662],48.229,1.017,
B[663],48.982,0.832,
B[664],47.901,0.838,
B[665],48.867,0.889,
B[666],47.787,0.891,
B[667],48.26,0.836,
B[668],47.181,0.827,
B[669],48.18,0.905,
B[670],47.101,0.911,
B[671],50.085,0.796,
B[672],49.002,0.805,
B[673],50.858,0.871,
B[674],49.774,0.877,
B[675],50.083,0.799,
B[676],49.0,0.809,
B[677],50.783,0.806,
B[678],49.699,0.822,
B[679],50.258,0.834,
B[680],49.175,0.842,
B[681],48.028,0.86,
B[682],46.607,1.161,
B[683],47.306,0.871,
B[684],49.127,0.853,
B[685],47.229,0.911,
B[686],49.823,0.889,
B[687],50.963,0.879,
B[688],47.12,1.057,
B[689],46.046,1.053,
B[690],47.858,0.825,
B[691],48.938,0.849,
B[692],47.142,0.835,
B[693],48.221,0.872,
B[694],48.961,0.821,
B[695],50.044,0.842,
B[696],47.752,0.898,
B[697],48.832,0.922,
B[698],47.065,0.884,
B[699],48.144,0.905,
B[700],49.658,0.835,
B[701],50.742,0.848,
B[702],49.733,0.913,
B[703],50.817,0.934,
B[704],48.946,0.852,
B[705],47.911,0.843,
B[706],47.195,0.832,
B[707],49.012,0.808,
B[708],47.116,0.906,
B[709],47.796,0.887,
B[710],49.712,0.829,
B[711],49.783,0.879,
B[712],47.911,0.843,
B[713],47.195,0.832,
B[714],49.012,0.808,
B[715],47.116,0.906,
B[716],47.796,0.887,
B[717],49.712,0.829,
B[718],49.783,0.879,
B[719],48.992,0.835,
B[720],48.274,0.84,
B[721],50.095,0.797,
B[722],48.194,0.898,
B[723],48.877,0.884,
B[724],50.796,0.81,
B[725],50.867,0.872,
B[726],54.886,3.552,
B[727],53.81,3.553,
B[728],54.954,1.568,
B[729],50.813,0.912,
B[730],49.729,0.887,
B[731],50.8,0.821,
B[732],49.716,0.84,
B[733],56.599,1.806,
B[734],49.102,0.87,
B[735],53.438,1.82,
B[736],64.692,1.815,
B[737],35.302,1.127,
B[738],34.331,1.107,
B[739],35.15,1.113,
B[740],34.181,1.096,
B[741],48.591,1.093,
B[742],47.511,1.081,
B[743],66.019,1.561,
B[744],47.518,1.138,
B[745],46.442,1.116,
B[746],47.496,1.392,
B[747],47.586,0.944,
B[748],47.231,0.938,
B[749],46.163,1.085,
B[750],47.238,1.094,
B[751],47.841,1.986,
B[752],49.267,1.019,
B[753],48.186,1.024,
B[754],48.186,1.024,
B[755],49.16,0.883,
B[756],48.442,0.892,
B[757],50.264,0.844,
B[758],49.045,0.955,
B[759],50.964,0.883,
B[760],51.036,0.93,
B[761],46.149,1.103,
B[762],46.149,1.103,
B[763],47.978,0.861,
B[764],51.139,1.131,
B[765],50.055,1.136,
B[766],51.233,1.019,
B[767],50.149,0.98,
B[768],52.308,1.59,
B[769],52.474,1.587,
B[770],51.224,1.576,
B[771],51.39,1.571,
B[772],47.521,1.138,
B[773],47.685,1.151,
B[774],46.445,1.116,
B[775],46.609,1.127,
B[776],47.135,0.827,
B[777],48.951,0.809,
B[778],49.65,0.823,
B[779],49.721,0.885,
B[780],48.213,0.841,
B[781],50.034,0.804,
B[782],50.734,0.81,
B[783],50.805,0.883,
B[784],48.146,0.9,
B[785],58.798,1.342,
B[786],47.18,0.914,
B[787],47.81,0.824,
B[788],48.89,0.852,
B[789],48.173,0.878,
B[790],47.094,0.836,
B[791],48.913,0.819,
B[792],49.996,0.844,
B[793],47.704,0.898,
B[794],48.784,0.926,
B[795],47.017,0.883,
B[796],48.096,0.907,
B[797],49.61,0.834,
B[798],50.694,0.852,
B[799],49.685,0.912,
B[800],50.769,0.936,
B[801],65.803,1.822,
B[802],48.937,0.833,
B[803],50.042,0.795,
B[804],50.743,0.807,
B[805],50.815,0.871,
B[806],50.289,0.936,
B[807],49.589,0.936,
B[808],48.507,0.94,
B[809],50.362,1.008,
B[810],49.279,1.01,
B[811],48.934,0.835,
B[812],48.216,0.838,
B[813],50.738,0.807,
B[814],50.037,0.798,
B[815],48.137,0.901,
B[816],48.819,0.894,
B[817],50.81,0.874,
B[818],47.853,0.837,
B[819],47.138,0.824,
B[820],49.654,0.819,
B[821],48.954,0.804,
B[822],47.058,0.903,
B[823],47.739,0.892,
B[824],49.726,0.876,
B[825],45.398,1.075,
B[826],46.47,1.081,
B[827],34.172,1.999,
B[828],35.139,2.013,
B[829],40.99,2.048,
B[830],39.956,2.032,
B[831],43.123,1.977,
B[832],63.89,1.361,
B[833],58.486,3.367,
B[834],57.664,2.519,
B[835],56.359,1.717,
B[836],42.072,1.963,
B[837],62.863,1.374,
B[838],57.423,3.372,
B[839],56.594,2.535,
B[840],55.283,1.744,
Live Phone,0.04,0.059,
MultiCandidate,0.042,0.016,
Online Panel,0.082,0.057,
Other,0.058,0.055,
a_offset[0],-2.28,1.569,Michigan
a_offset[1],-2.93,1.594,Pennsylvania
a_offset[2],-1.256,1.565,Arizona
a_offset[3],-0.588,1.567,Georgia
a_offset[4],-2.995,1.625,Wisconsin
a_offset[5],-0.515,1.611,North Carolina
a_offset[6],-1.148,1.607,Nevada
a_offset[7],-15.916,2.556,California
a_offset[8],0.063,1.717,Florida
a_offset[9],2.101,1.716,Ohio
a_offset[10],0.476,1.699,Texas
a_offset[11],12.068,2.228,Tennessee
a_offset[12],-6.054,1.93,New Hampshire
a_offset[13],-10.45,2.189,New York
a_offset[14],-5.652,2.025,Virginia
a_offset[15],2.576,1.852,Iowa
a_offset[16],-6.643,2.094,Colorado
a_offset[17],5.772,2.117,Missouri
a_offset[18],-8.702,2.224,Washington
a_offset[19],-17.688,2.984,Massachusetts
a_offset[20],7.277,2.272,Montana
a_offset[21],-5.848,2.222,Minnesota
a_offset[22],5.092,2.274,South Carolina
a_offset[23],3.667,2.305,Alaska
a_offset[24],11.694,2.765,Oklahoma
a_offset[25],5.707,2.504,Utah
a_offset[26],-14.068,2.876,Maryland
a_offset[27],-9.23,2.703,Illinois
a_offset[28],-7.07,2.866,New Mexico
a_offset[29],-9.92,2.852,Oregon
a_offset[30],4.691,2.796,Kansas
a_offset[31],-8.698,2.834,Connecticut
a_offset[32],7.53,3.1,Alabama
a_offset[33],-3.561,3.036,Maine
a_offset[34],10.323,3.18,South Dakota
a_offset[35],10.053,3.191,Kentucky
a_offset[36],-10.371,3.534,ME-1
a_offset[37],-18.585,3.976,Vermont
a_offset[38],7.479,3.54,ME-2
a_offset[39],7.528,3.554,Indiana
a_offset[40],-6.738,3.633,New Jersey
a_offset[41],6.093,3.491,Nebraska
a_offset[42],-10.198,3.541,Rhode Island
a_offset[43],11.965,3.732,Arkansas
a_offset[44],-10.705,3.572,Hawaii
a_offset[45],15.565,4.735,West Virginia
a_offset[46],18.953,4.878,North Dakota
a_offset[47],25.086,5.056,Wyoming
a_offset[48],11.699,4.624,Idaho
a_offset[49],5.355,4.55,Mississippi
a_offset[50],4.19,4.477,Louisiana
grade,0.022,0.018,
lv,-0.01,0.045,
month,0.002,0.001,
mu_b0,0.007,0.102,
phi,102.945,0.985,
rep_poll,0.016,0.03,
rv,-0.003,0.044,
sample_size,0.0,0.01,
sigma_b0,0.042,0.005,
